Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
0.0,38.0,10.0,12.0,2.0,6.0,672.0,674.0,0.00014,98.2,130.0,nan,nan,40371.0,5.0,70.0,13.0,16.0,79.0,36.0,nan,1.712167996
8.0,108.0,5.0,4.0,1.0,nan,35776.0,35797.0,0.00025,1436.1,4545.0,2000.0,9500.0,38203.0,15.0,70.0,13.0,0.0,98.0,6.0,-1.06499991,0.000698132
55.0,109.0,5.0,4.0,1.0,nan,35767.0,35805.0,0.00045,1436.08,5465.0,nan,15300.0,40087.0,15.0,70.0,13.0,3.0,7.0,7.0,-1.064650844,0.000523599
55.0,109.0,5.0,4.0,1.0,nan,35781.0,35791.0,0.00011999999999999999,1436.05,6265.0,2778.0,14000.0,41312.0,15.0,223.0,47.0,3.0,8.0,24.0,-1.064650844,0.000523599
65.0,258.0,5.0,4.0,1.0,nan,35772.0,35800.0,0.00033,1436.1,2783.0,1600.0,6500.0,35316.0,15.0,134.0,47.0,1.0,15.0,6.0,-1.798038195,0.000523599
65.0,258.0,5.0,4.0,1.0,nan,35775.0,35797.0,0.00026000000000000003,1436.09,2315.0,907.0,6500.0,38022.0,15.0,131.0,47.0,1.0,14.0,6.0,-2.355670891,0.000174533
65.0,258.0,5.0,4.0,1.0,nan,35774.0,35797.0,0.00027,1436.07,2340.0,2316.0,6500.0,38126.0,15.0,131.0,47.0,1.0,14.0,6.0,-2.28515959,0.000698132
65.0,258.0,5.0,4.0,1.0,nan,35777.0,35795.0,0.00021,1436.08,4200.0,nan,nan,38274.0,15.0,131.0,47.0,0.0,98.0,6.0,-1.833293846,0.000698132
65.0,258.0,5.0,4.0,1.0,nan,35780.0,35793.0,0.00015,1436.1,4312.0,nan,nan,38338.0,15.0,134.0,47.0,1.0,19.0,6.0,-1.483180798,0.000349066
65.0,258.0,5.0,4.0,1.0,nan,35773.0,35800.0,0.00032,1436.1,2081.0,918.0,nan,39059.0,15.0,137.0,47.0,3.0,7.0,6.0,-1.832072116,0.001047198
65.0,258.0,5.0,4.0,1.0,nan,35774.0,35798.0,0.00028,1436.1,2648.0,1600.0,6500.0,35460.0,15.0,134.0,47.0,3.0,4.0,6.0,-1.762433479,0.000872665
65.0,258.0,5.0,4.0,1.0,nan,35778.0,35793.0,0.00018,1436.1,2500.0,nan,5000.0,39674.0,15.0,200.0,47.0,3.0,8.0,6.0,-2.1792181040000003,0.052359878
65.0,258.0,5.0,4.0,1.0,nan,35777.0,35795.0,0.00021,1436.08,2845.0,1600.0,6500.0,35677.0,15.0,134.0,47.0,1.0,14.0,6.0,-1.5177383180000001,0.000349066
65.0,258.0,5.0,4.0,1.0,nan,35781.0,35791.0,0.00011999999999999999,1436.1,3909.0,2500.0,nan,36477.0,15.0,134.0,47.0,3.0,5.0,6.0,-1.7626080119999998,0.000174533
65.0,258.0,5.0,4.0,1.0,nan,35777.0,35796.0,0.00022999999999999998,1436.1,1698.0,769.0,nan,36096.0,15.0,9.0,9.0,3.0,4.0,6.0,-1.377588379,0.000523599
